alpha,P_total_nM,time_h,target_fraction,degradation_pct
10.0,0.5011872336272725,8.25,0.9577051069640014,4.229489303599864
10.0,0.5011872336272725,8.5,0.9564262390182854,4.3573760981714615
10.0,0.5011872336272725,8.75,0.9551475398969856,4.485246010301436
10.0,0.5011872336272725,9.0,0.9538690099870394,4.613099001296062
10.0,0.5011872336272725,9.25,0.9525906496766587,4.740935032334126
10.0,0.5011872336272725,9.5,0.9513124593553368,4.8687540644663185
10.0,0.5011872336272725,9.75,0.9500344394138522,4.996556058614776
10.0,0.5011872336272725,10.0,0.9487565902442752,5.124340975572483
10.0,0.5011872336272725,10.25,0.9474789122399726,5.252108776002739
10.0,0.5011872336272725,10.5,0.9462014057956142,5.3798594204385815
10.0,0.5011872336272725,10.75,0.9449240713071774,5.507592869282263
10.0,0.5011872336272725,11.0,0.9436469091719528,5.635309082804718
10.0,0.5011872336272725,11.25,0.9423699197885507,5.763008021144933
10.0,0.5011872336272725,11.5,0.9410931035569057,5.8906896443094325
10.0,0.5011872336272725,11.75,0.9398164608782829,6.0183539121717144
10.0,0.5011872336272725,12.0,0.9385399921552832,6.146000784471683
10.0,0.5011872336272725,12.25,0.9372636977918496,6.273630220815041
10.0,0.5011872336272725,12.5,0.9359875781932723,6.401242180672773
10.0,0.5011872336272725,12.75,0.934711633766195,6.528836623380496
10.0,0.5011872336272725,13.0,0.9334358649186203,6.6564135081379705
10.0,0.5011872336272725,13.25,0.9321602720599155,6.783972794008452
10.0,0.5011872336272725,13.5,0.930884855600819,6.911514439918099
10.0,0.5011872336272725,13.75,0.9296096159534456,7.0390384046554395
10.0,0.5011872336272725,14.0,0.9283345535312926,7.166544646870743
10.0,0.5011872336272725,14.25,0.9270596687492457,7.294033125075428
10.0,0.5011872336272725,14.5,0.9257849620235853,7.421503797641471
10.0,0.5011872336272725,14.75,0.9245104337719922,7.548956622800784
10.0,0.5011872336272725,15.0,0.9232360844135534,7.676391558644657
10.0,0.5011872336272725,15.25,0.9219619143687691,7.803808563123093
10.0,0.5011872336272725,15.5,0.9206879240595575,7.931207594044254
10.0,0.5011872336272725,15.75,0.919414113909262,8.058588609073801
10.0,0.5011872336272725,16.0,0.9181404843426569,8.185951565734307
10.0,0.5011872336272725,16.25,0.9168670357859537,8.313296421404626
10.0,0.5011872336272725,16.5,0.9155937686668073,8.440623133319269
10.0,0.5011872336272725,16.75,0.9143206834143223,8.567931658567773
10.0,0.5011872336272725,17.0,0.9130477804590591,8.695221954094091
10.0,0.5011872336272725,17.25,0.9117750602330407,8.822493976695933
10.0,0.5011872336272725,17.5,0.9105025231697584,8.949747683024157
10.0,0.5011872336272725,17.75,0.909230169704179,9.076983029582097
10.0,0.5011872336272725,18.0,0.9079580002727504,9.204199972724957
10.0,0.5011872336272725,18.25,0.9066860153134086,9.331398468659135
10.0,0.5011872336272725,18.5,0.9054142152655841,9.458578473441593
10.0,0.5011872336272725,18.75,0.9041426005702082,9.585739942979178
10.0,0.5011872336272725,19.0,0.90287117166972,9.712882833028003
10.0,0.5011872336272725,19.25,0.9015999290080724,9.84000709919276
10.0,0.5011872336272725,19.5,0.9003288730307394,9.967112696926062
10.0,0.5011872336272725,19.75,0.8990580041847223,10.094199581527775
10.0,0.5011872336272725,20.0,0.8977873229185566,10.221267708144344
10.0,0.5011872336272725,20.25,0.8965168296823185,10.34831703176815
10.0,0.5011872336272725,20.5,0.8952465249276321,10.475347507236787
