gene,diplotype,genetic_phenotype,I_over_Ki,time_h,depot_nmol,parent_nmol,metabolite_nmol,eliminated_nmol_equivalent,parent_AUC_nM_h,metabolite_AUC_nM_h,doses_received
CYP2C19,*1/*1,NM,100.0,149.75,3.1827807966298223,1102.0719442084585,8.705015068534042,5886.0402599263625,2330.321390016921,34.73972864897615,7
CYP2C19,*1/*1,NM,100.0,150.0,2.4787521767599356,1091.269305113759,8.761355154373081,5897.490587555092,2335.8047586149237,34.81250887263325,7
CYP2C19,*1/*1,NM,100.0,150.25,1.9304541363005874,1080.4467321250745,8.81247800254883,5908.81033573606,2341.2340503226883,34.88573674209846,7
CYP2C19,*1/*1,NM,100.0,150.5,1.50343919303433,1069.6335537865614,8.858553235543036,5920.004453784845,2346.6092419658753,34.959369484633065,7
CYP2C19,*1/*1,NM,100.0,150.75,1.1708796208353773,1058.8523534725166,8.899752953417215,5931.077013953215,2351.9304394467886,35.03336575288196,7
CYP2C19,*1/*1,NM,100.0,151.0,0.9118819655889415,1048.120464079045,8.93624979459619,5942.031404160754,2357.197847910805,35.107685637066695,7
CYP2C19,*1/*1,NM,100.0,151.25,0.7101743888693596,1037.4511320635356,8.968215472039281,5952.870478075541,2362.411748525223,35.182290663082846,7
CYP2C19,*1/*1,NM,100.0,151.5,0.5530843701687136,1026.8544239722355,8.995819678112877,5963.596671979468,2367.5724804077317,35.25714378000023,7
CYP2C19,*1/*1,NM,100.0,151.75,0.4307425405919489,1016.3379324176353,9.019229275127389,5974.21209576663,2372.6804265652736,35.33220933967795,7
CYP2C19,*1/*1,NM,100.0,152.0,0.33546262791517617,1005.9073258674921,9.038607706917878,5984.71860379766,2377.7360029560723,35.40745307059447,7
CYP2C19,*1/*1,NM,100.0,152.25,0.2612585573115305,995.5667767945062,9.054114581188792,5995.1178500669785,2382.739649983848,35.48284204751626,7
CYP2C19,*1/*1,NM,100.0,152.5,0.2034683690183255,985.3192950934564,9.065905383510444,6005.4113311539995,2387.6918258860906,35.558344658258505,7
CYP2C19,*1/*1,NM,100.0,152.75,0.15846132512173347,975.1669877208265,9.074131292550598,6015.600419661486,2392.593001597301,35.633930568502784,7
CYP2C19,*1/*1,NM,100.0,153.0,0.1234098040913385,965.1112608767182,9.078939072895121,6025.68639024628,2397.4436567608027,35.70957068541272,7
CYP2C19,*1/*1,NM,100.0,153.25,0.09611165206502309,955.1529774389188,9.080471027083348,6035.670439881918,2402.244276634942,35.785237120614404,7
CYP2C19,*1/*1,NM,100.0,153.5,0.07485182989052638,945.292579547571,9.078864992588016,6045.553703629936,2406.9953496957028,35.860903152973066,7
CYP2C19,*1/*1,NM,100.0,153.75,0.05829466373306954,935.530184049367,9.074254372664631,6055.33726691422,2411.697365781575,35.93654319149249,7
CYP2C19,*1/*1,NM,100.0,154.0,0.045399929764198786,925.8656568049738,9.06676819248222,6065.022175072765,2416.3508146605986,36.01213273858203,7
CYP2C19,*1/*1,NM,100.0,154.25,0.0353575008517448,916.2986705353818,9.056531173883082,6074.609440789869,2420.9561849260795,36.08764835387309,7
CYP2C19,*1/*1,NM,100.0,154.5,0.027536449350786717,906.8287498486051,9.04366382362549,6084.100049878404,2425.5139631481547,36.16306761871789,7
CYP2C19,*1/*1,NM,100.0,154.75,0.021445408317398773,897.4553062826789,9.028282531135309,6093.494965777853,2430.024633224494,36.23836910146561,7
CYP2C19,*1/*1,NM,100.0,155.0,0.016701700790876184,888.1776655735881,9.010499672704114,6102.795133052901,2434.488675885967,36.31353232358189,7
CYP2C19,*1/*1,NM,100.0,155.25,0.013007297654558674,878.995088868209,8.990423719780326,6112.001480114341,2438.9065683228837,36.38853772665508,7
CYP2C19,*1/*1,NM,100.0,155.5,0.010130093599013143,869.9067892218654,8.968159349550946,6121.114921334969,2443.278783905021,36.46336664031559,7
CYP2C19,*1/*1,NM,100.0,155.75,0.007889324827498061,860.9119444237763,8.943807556439662,6130.136358694941,2447.6057919745735,36.538001251081376,7
CYP2C19,*1/*1,NM,100.0,156.0,0.006144212353560166,852.0097069628998,8.917465763479571,6139.066683061252,2451.888057695785,36.61242457213267,7
