polymer,drug_mass_fraction,drug_volume_fraction,chi_25C,mixing_free_energy_over_RT_per_site,dry_Tg_C
PVP-VA,0.00432666666667,0.003928851174,1.0286584114,-0.0177869569512,100.741436513
PVP-VA,0.00765333333333,0.00695178296216,1.0286584114,-0.0275270178178,100.542736054
PVP-VA,0.01098,0.00997657317909,1.0286584114,-0.035931198256,100.344124714
PVP-VA,0.0143066666667,0.0130032235391,1.0286584114,-0.0434267853829,100.145602435
PVP-VA,0.0176333333333,0.0160317357586,1.0286584114,-0.0502341144339,99.9471691568
PVP-VA,0.02096,0.0190621115561,1.0286584114,-0.0564883314144,99.7488248189
PVP-VA,0.0242866666667,0.0220943526523,1.0286584114,-0.0622809587555,99.5505693618
PVP-VA,0.0276133333333,0.02512846077,1.0286584114,-0.0676781312409,99.3524027259
PVP-VA,0.03094,0.0281644376339,1.0286584114,-0.0727298903721,99.1543248514
PVP-VA,0.0342666666667,0.0312022849711,1.0286584114,-0.0774754282611,98.9563356787
PVP-VA,0.0375933333333,0.0342420045108,1.0286584114,-0.0819462737451,98.7584351483
PVP-VA,0.04092,0.0372835979843,1.0286584114,-0.0861683410401,98.5606232005
