scenario,time_h,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM,target_degraded_nM,target_synthesized_nM
no_penalty,29.0,11.878701123806279,10.710552131617945,72.23931379444186,7.518680116282537,7.970395228737642,7.308971093103023,8.001737777431888,2.317130053271955,2.1624520535609806,130.15179831644943,72.50000000000004
no_penalty,29.25,11.842297490000044,10.632165484248446,72.30485269734204,7.517781050571374,7.952528424941803,7.260399928287503,8.019364371454154,2.3135768561530825,2.1492777223687503,130.97475409454762,73.12500000000004
no_penalty,29.5,11.806500318363124,10.555199381439312,72.36936049399979,7.516894287439892,7.934914211858577,7.212619581581494,8.036745837586752,2.310063236024462,2.136296639496255,131.79440663178403,73.75000000000004
no_penalty,29.75,11.771300971163802,10.479628340440831,72.43285040488574,7.516019726890312,7.917550624309237,7.165618697695314,8.0538842966317,2.3065893137162594,2.1235066633090884,132.6108053899127,74.37500000000004
no_penalty,30.0,11.736690855810897,10.405427348633589,72.49533558905517,7.515157267431621,7.900435631840542,7.119386046535877,8.070781894929828,2.3031551790159837,2.1109056591699282,133.42399927954045,75.00000000000004
no_penalty,30.25,11.702661449139015,10.332571835194173,72.55682912899087,7.51430680627401,7.883567158069202,7.07391051921391,8.087440800297777,2.2997608957202926,2.098491498255283,134.2340366449554,75.62500000000004
no_penalty,30.5,11.669204297501771,10.261037664929292,72.6173440288038,7.513468239403673,7.866943082712674,7.029181127887165,8.103863200628615,2.2964065024330385,2.086262058082036,135.0409652670013,76.25000000000004
no_penalty,30.75,11.636311000327089,10.190801147517915,72.67689322264533,7.512641461548831,7.850561231034849,6.985187007868614,8.120051304843962,2.2930920101892602,2.074215223965309,135.84483237964423,76.87500000000004
no_penalty,31.0,11.603973240548658,10.121839003136088,72.73548955441674,7.51182636644798,7.834419398797587,6.941917413233618,8.136007337300304,2.2898174090157184,2.0623488877833602,136.64568464803224,77.50000000000004
no_penalty,31.25,11.572182769565268,10.05412837054281,72.79314578573532,7.511022846815174,7.818515342537189,6.899361718542634,8.151733538736678,2.2865826657331514,2.0506609492623586,137.44356818436387,78.12500000000004
no_penalty,31.5,11.540931404895488,9.987646803648301,72.84987459661394,7.510230794377038,7.802846779298239,6.8575094184648195,8.167232165645764,2.2833877241040796,2.0391493164204806,138.23852855371587,78.75000000000004
no_penalty,31.75,11.51021104996933,9.922372246271479,72.90568857026156,7.509450100103151,7.787411404083091,6.8163501257584675,8.182505485568488,2.280232509608111,2.027811905267614,139.03061075958917,79.37500000000004
no_penalty,32.0,11.480013681012936,9.858283039321826,72.96060020131885,7.508680654153488,7.7722068810729175,6.77587357176169,8.197555778362215,2.277116927388242,2.0166466406434163,139.81985925934623,80.00000000000004
no_penalty,32.25,11.450331349227893,9.795357912968955,73.01462189326749,7.507922345956154,7.757230847023469,6.736069605665165,8.21238533471647,2.2740408633649873,2.0056514565097494,140.60631796578704,80.62500000000004
no_penalty,32.5,11.42115619357295,9.733575967616392,73.0677659474387,7.5071750643919595,7.742480923315888,6.696928193637336,8.226996452434971,2.271004187630597,1.994824296089834,141.39003023868426,81.25000000000004
