alpha,Kd_E_nM,Kd_T_nM,peak_EPT_nM,optimal_total_P_nM
10.0,2.511886431509581,0.31622776601683794,93.43646683656452,100.89125093813375
10.0,3.1622776601683795,0.31622776601683794,92.86716556708542,101.0
10.0,3.981071705534973,0.31622776601683794,92.2326034948798,101.12201845430197
10.0,5.011872336272725,0.31622776601683794,91.52587737670983,101.25892541179417
10.0,6.309573444801933,0.31622776601683794,90.73950417377392,101.41253754462275
10.0,7.943282347242818,0.31622776601683794,89.8654134039637,101.58489319246111
10.0,10.0,0.31622776601683794,88.89495290326116,101.77827941003892
10.0,12.589254117941675,0.31622776601683794,87.8189125352501,101.99526231496888
10.0,15.848931924611142,0.31622776601683794,86.62757136798467,102.23872113856834
10.0,19.952623149688808,0.31622776601683794,85.31077492058286,102.51188643150958
10.0,25.11886431509582,0.31622776601683794,83.85805022885482,102.81838293126445
10.0,31.622776601683793,0.31622776601683794,82.25876761725084,103.16227766016839
10.0,39.810717055349734,0.31622776601683794,80.5023590716055,103.54813389233576
10.0,50.11872336272725,0.31622776601683794,78.57860379313624,103.98107170553497
10.0,63.095734448019364,0.31622776601683794,76.47799159628683,104.46683592150963
10.0,79.43282347242821,0.31622776601683794,74.19217389069362,105.01187233627273
10.0,100.0,0.31622776601683794,71.71450951915567,105.62341325190349
10.0,125.89254117941675,0.31622776601683794,69.0407080158272,106.30957344480194
10.0,158.48931924611142,0.31622776601683794,66.16956507719999,107.07945784384138
10.0,199.52623149688807,0.31622776601683794,63.10377332615257,107.94328234724281
10.0,251.18864315095823,0.31622776601683794,59.850775049439505,108.91250938133746
10.0,316.22776601683796,0.31622776601683794,56.423602220061206,110.0
10.0,398.1071705534973,0.31622776601683794,52.841623499356096,111.22018454301964
10.0,501.18723362727246,0.31622776601683794,49.13109051465148,112.58925411794166
10.0,630.9573444801937,0.31622776601683794,45.325351566699815,114.12537544622754
10.0,794.3282347242822,0.31622776601683794,41.46458823608197,115.84893192461115
10.0,1000.0,0.31622776601683794,37.59494018287058,117.78279410038922
10.0,0.1,0.3981071705534973,97.04925978198621,100.19952623149689
10.0,0.12589254117941673,0.3981071705534973,96.93092780085871,100.22387211385683
10.0,0.15848931924611134,0.3981071705534973,96.7983302281155,100.25118864315095
10.0,0.19952623149688797,0.3981071705534973,96.6497709867219,100.28183829312644
10.0,0.251188643150958,0.3981071705534973,96.48335849715859,100.31622776601684
10.0,0.31622776601683794,0.3981071705534973,96.29698474814236,100.35481338923357
10.0,0.3981071705534973,0.3981071705534973,96.08830255497942,100.3981071705535
10.0,0.5011872336272724,0.3981071705534973,95.8547009697258,100.44668359215096
10.0,0.6309573444801934,0.3981071705534973,95.59327884820257,100.50118723362728
10.0,0.7943282347242815,0.3981071705534973,95.30081663536316,100.56234132519035
10.0,1.0,0.3981071705534973,94.97374650671311,100.6309573444802
10.0,1.2589254117941675,0.3981071705534973,94.60812110453301,100.70794578438414
10.0,1.584893192461114,0.3981071705534973,94.1995812396871,100.79432823472428
10.0,1.9952623149688797,0.3981071705534973,93.74332310013635,100.89125093813375
10.0,2.511886431509581,0.3981071705534973,93.23406572451593,101.0
10.0,3.1622776601683795,0.3981071705534973,92.6660197732169,101.12201845430197
10.0,3.981071705534973,0.3981071705534973,92.03285897154498,101.25892541179417
10.0,5.011872336272725,0.3981071705534973,91.32769602196552,101.41253754462275
10.0,6.309573444801933,0.3981071705534973,90.54306529796955,101.58489319246111
10.0,7.943282347242818,0.3981071705534973,89.67091525307778,101.77827941003892
10.0,10.0,0.3981071705534973,88.70261421529352,101.99526231496888
