scenario,time_h,radius_um,extracellular_nm,neighbor_intracellular_nm,hypothetical_neighbor_survival,neighbor_cell_volume_um3
High permeability,1.5,33.75,0.013809341659179412,0.0008088927934607884,0.9999997737825065,25060.746397073577
High permeability,1.5,36.25,0.009870583960290896,0.0005692382362461379,0.9999998429465008,28909.197397721073
High permeability,1.5,38.75,0.007072953893191283,0.0004017164197221338,0.9999998906290268,33032.53775555768
High permeability,1.5,41.25,0.005078109884558161,0.00028413252331345234,0.9999999236442826,37430.767470583385
High permeability,1.5,43.75,0.003651297664306684,0.00020132462122489055,0.9999999465849942,42103.8865427982
High permeability,1.5,46.25,0.0026282834897420762,0.0001428503827506809,0.9999999625717414,47051.89497220213
High permeability,1.5,48.75,0.0018933934597187988,0.0001014696949017269,0.9999999737390289,52274.79275879515
High permeability,1.5,51.25,0.0013647071450881415,7.213497287085549e-05,0.9999999815549773,57772.579902577294
High permeability,1.5,53.75,0.000983948369481669,5.131119753934677e-05,0.9999999870340212,63545.25640354854
High permeability,1.5,56.25,0.0007095100205830651,3.651338814198434e-05,0.9999999908798014,69592.82226170889
High permeability,1.5,58.75,0.0005115987524233645,2.598932203917663e-05,0.999999993581944,75915.27747705833
High permeability,1.5,61.25,0.00036883034825839787,1.850034684877016e-05,0.9999999954820606,82512.6220495969
High permeability,1.5,63.75,0.0002658276064555081,1.3169056752745633e-05,0.99999999681902,89384.85597932458
High permeability,1.5,66.25,0.0001915168535674679,9.372906909002841e-06,0.9999999977601532,96531.97926624135
High permeability,1.5,68.75,0.00013791475501876173,6.66960069861636e-06,0.9999999984228546,103953.99191034725
High permeability,1.5,71.25,9.92612702880276e-05,4.744577389246074e-06,0.999999998889584,111650.89391164223
High permeability,1.5,73.75,7.139820683760768e-05,3.3739462479735265e-06,0.9999999992183197,119622.68527012634
High permeability,1.5,76.25,5.13227631637731e-05,2.3982603354289512e-06,0.9999999994498578,127869.36598579954
High permeability,1.5,78.75,3.686618593150743e-05,1.7039231238791408e-06,0.9999999996129213,136390.93605866184
High permeability,1.5,81.25,2.6462138480574767e-05,1.2099851870004439e-06,0.9999999997277417,145187.3954887133
High permeability,1.5,83.75,1.897954659848639e-05,8.58756260165668e-07,0.9999999998085732,154258.7442759538
High permeability,1.5,86.25,1.3601872936352273e-05,6.091233264855178e-07,0.9999999998654613,163604.98242038343
High permeability,1.5,88.75,9.739873658069974e-06,4.317910158075705e-07,0.9999999999054849,173226.10992200216
High permeability,1.5,91.25,6.968528808008019e-06,3.058893469557701e-07,0.9999999999336331,183122.12678081
High permeability,1.5,93.75,4.981440722893435e-06,2.1655505558622328e-07,0.9999999999534211,193293.03299680696
High permeability,1.5,96.25,3.5578624917979396e-06,1.532066846224857e-07,0.999999999967326,203738.82856999306
High permeability,1.5,98.75,2.538861834136786e-06,1.083143243943787e-07,0.9999999999770922,214459.5135003682
High permeability,1.5,101.25,1.8100938911729195e-06,7.65221751815727e-08,0.9999999999839481,225455.08778793245
High permeability,1.5,103.75,1.289355213217586e-06,5.402282949595503e-08,0.9999999999887584,236725.55143268587
High permeability,1.5,106.25,9.175962166196977e-07,3.811116037123216e-08,0.9999999999921318,248270.90443462835
High permeability,1.5,108.75,6.524346601482128e-07,2.686635833312679e-08,0.9999999999944962,260091.14679375992
High permeability,1.5,111.25,4.6347707651559547e-07,1.8925390402183867e-08,0.9999999999961523,272186.27851008065
High permeability,1.5,113.75,3.2894653741833224e-07,1.3321665544255194e-08,0.9999999999973117,284556.2995835904
High permeability,1.5,116.25,2.332537845932553e-07,9.370194200175878e-09,0.999999999998123,297201.21001428936
High permeability,1.5,118.75,1.6524918500469059e-07,6.585886947317678e-09,0.9999999999986902,310121.0098021774
High permeability,1.5,121.25,1.1696569715987795e-07,4.62546304163134e-09,0.9999999999990865,323315.6989472545
High permeability,1.5,123.75,8.271569322609821e-08,3.246171443871656e-09,0.9999999999993633,336785.27744952077
High permeability,1.5,126.25,5.84425932984765e-08,2.276477452321225e-09,0.9999999999995566,350529.7453089761
High permeability,1.5,128.75,4.1255839124228136e-08,1.5952604071790985e-09,0.9999999999996914,364549.10252562055
