KD_apical_nM,time_h,plasma_antibody_nmol,surface_receptor_nmol,surface_complex_nmol,endosomal_receptor_nmol,endosomal_complex_nmol,endosomal_free_antibody_nmol,brain_free_antibody_nmol,systemic_cleared_nmol,lysosomal_degraded_nmol,brain_cleared_nmol
100.0,59.0,51.068800090305764,0.02175705480645915,0.0032534427194329373,0.004939889847485027,4.961262681300869e-05,0.003387295221468072,0.037229684874401585,248.84584225073337,0.010715863517180683,0.03072176000145658
100.0,59.25,50.68706053619105,0.021793564499468177,0.0032345967179011814,0.004922555857601398,4.928292521936859e-05,0.0033681634187467326,0.03721246529757414,249.2274249043175,0.010742185393709492,0.030907865738204983
100.0,59.5,50.3081742701823,0.021829926804544424,0.00321582891781568,0.004905289219352508,4.895505847751674e-05,0.0033491056844218684,0.03719437925040724,249.60615522021516,0.010768357483895251,0.031093883207413575
100.0,59.75,49.93212000226279,0.021866141614639588,0.0031971393497936115,0.00488809001411042,4.862902164650793e-05,0.003330122111225898,0.03717543475523019,249.98205448402297,0.010794380380775017,0.03127980809543801
100.0,60.0,49.558876529526486,0.021902208838579604,0.003178528036669337,0.00487095831521569,4.830480972549569e-05,0.00331121278284292,0.037155639789486564,250.35514389424637,0.010820254676799253,0.031465636131502536
100.0,60.25,49.18842284368907,0.02193812839028832,0.0031599949985228644,0.004853894193731703,4.7982417647237916e-05,0.0032923777805361158,0.037135002299641354,250.72544445476575,0.010845980965519673,0.031651363083202926
100.0,60.5,48.82073809264458,0.021973900192397738,0.0031415402510030065,0.004836897716507334,4.766184028204694e-05,0.003273617180914804,0.037113530196335294,251.092977013288,0.010871559840961114,0.03183698475780782
100.0,60.75,48.45580157915483,0.02200952417619811,0.003123163805356457,0.0048199689461964745,4.734307243908246e-05,0.003254931055955676,0.03709123135431013,251.45776226265733,0.010896991897582642,0.03202249700208487
100.0,61.0,48.09359275953862,0.022045000281588067,0.0031048656684568602,0.004803107941277556,4.7026108867644405e-05,0.003236319473024031,0.03706811361233389,251.8198207421662,0.010922277730238638,0.0322078957021269
100.0,61.25,47.73409124236115,0.0220803284570247,0.003086645842833888,0.004786314756073072,4.6710944258465864e-05,0.0032177824948950193,0.03704418477312612,252.1791728388663,0.010947417934139886,0.032393176783178046
100.0,61.5,47.377276805505694,0.022115508657890935,0.003068504327453709,0.0047695894416081705,4.639757323731239e-05,0.0031993201807164326,0.03701945260632108,252.53583877049243,0.010972413105221825,0.032578336208800025
100.0,61.75,47.02312941573041,0.02215054084464888,0.003050441118601036,0.0047529320465826705,4.608599035754125e-05,0.0031809325870987893,0.036993924851841456,252.88983856590104,0.010997263840567824,0.032763369979949164
100.0,62.0,46.67162910004943,0.022185424993751483,0.00303245620470437,0.004736342611579597,4.5776190154676534e-05,0.0031626197616157633,0.036967609198784925,253.24119219372028,0.011021970735550541,0.03294827413937273
100.0,62.25,46.322756073802005,0.022220161086452736,0.003014549571653584,0.004719821174990254,4.5468167093552806e-05,0.00314438174945234,0.0369405133067305,253.58991943424948,0.011046534386658641,0.03313304476679055
100.0,62.5,45.976490699397445,0.022254749112197086,0.0029967212011962324,0.004703367771210481,4.516191558632592e-05,0.0031262185913800713,0.036912644799062685,253.93603992072448,0.011070955390573158,0.03331767798015509
100.0,62.75,45.63281348507845,0.022289189068563177,0.0029789710709696533,0.004686982430663561,4.485742999373493e-05,0.0031081303237821115,0.036884011262908946,254.27957314055416,0.011095234344130222,0.03350216993547496
100.0,63.0,45.29170508368454,0.02232348096120757,0.002961299154533072,0.00467066517982312,4.4554704626363924e-05,0.0030901169786782447,0.03685462024907726,254.6205384365575,0.011119371844283804,0.03368651682663841
100.0,63.25,44.953146291415436,0.022357624803808488,0.0029437054213996977,0.004654416041236037,4.4253733745904e-05,0.003072178583749919,0.0368244792719936,254.95895500820026,0.011143368488068442,0.03387071488523682
