id,atom_zero_based,element,reaction_center,alpha_carbon,fplus_proxy,local_softness_eV_inv,electronic_method
W06,17,C,False,False,6.804493946102044e-05,2.7948099436660055e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,18,C,False,False,2.6249988156830534e-05,1.078165819573567e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,19,H,False,False,2.8264468511381687e-08,1.1609065754742256e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,20,H,False,False,-2.086729027356137e-09,-8.570822579293046e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,21,H,False,False,3.9820102691784715e-07,1.635531162821501e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,22,H,False,False,2.722735620947648e-08,1.118309259685247e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,23,H,False,False,3.493394676166705e-07,1.4348420698784725e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,24,H,False,False,5.233709950977433e-08,2.1496417998335733e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,25,H,False,False,2.8057308129520293e-10,1.1523978766680265e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,26,H,False,False,4.615017449158452e-10,1.8955262153607827e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,27,H,False,False,2.027078052691788e-09,8.325818118326785e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,28,H,False,False,1.4088452447396114e-10,5.7865503743160865e-11,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,29,H,False,False,2.4103890599995987e-12,9.900191500426987e-13,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,30,H,False,False,1.5814118913902287e-10,6.495333398923704e-11,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,31,H,False,False,-2.7419621876042066e-11,-1.1262061878183214e-11,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,32,H,False,False,-5.0909210655249815e-11,-2.0909941178650847e-11,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,0,C,False,False,0.0008491025705005092,0.0003897692713652446,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,1,C,True,False,0.47025549982091724,0.21586454909994637,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,2,C,False,True,0.07675092073862977,0.03523149203902855,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,3,C,False,False,0.09509316634513892,0.04365125656881588,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,4,N,False,False,0.07201344451757717,0.033056816423924246,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,5,C,False,False,0.14381041747185228,0.06601426444828068,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,6,O,False,False,0.02889396022228091,0.013263389152215548,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,7,N,False,False,0.039816233746444385,0.018277113925956,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,8,C,False,False,0.0038571784180498033,0.00177058658607384,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,9,C,False,False,0.009841692216419033,0.0045176982586844555,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,10,C,False,False,0.000238654256685491,0.00010955107070478725,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,11,C,False,False,0.012198558071926317,0.005599586265059473,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,12,N,False,False,0.0012533229034392484,0.0005753212530859907,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,13,C,False,False,0.002449682884063399,0.0011244944320854928,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,14,N,False,False,0.0005855499270857387,0.0002687889265176163,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,15,C,False,False,0.00015857229305792298,7.279050761496383e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,16,C,False,False,0.0008088410703899182,0.00037128776382143095,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,17,C,False,False,7.554043555690606e-06,3.46758348738397e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,18,N,False,False,0.0008428895529261958,0.0003869172680654641,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,19,C,False,False,3.2237319820032096e-07,1.4798114024805835e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,20,C,False,False,0.011470306068302889,0.0052652918432968985,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,21,H,False,False,7.966166751707642e-14,3.656763173566748e-14,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,22,H,False,False,0.014401966502023088,0.006611031675962679,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,23,H,False,False,0.014402163985025022,0.00661112232791504,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W07,24,H,False,False,7.483927872480307e-14,3.435397813113728e-14,EHT/YAeHMOP; frozen-orbital LUMO population proxy
