id,initial_drug_M,time_s,E_free_M,EI_M,covalent_M,free_drug_M,GSH_adduct_M,cleared_drug_M
W03,4.641588833612782e-08,15300.0,5.504878777777763e-09,7.093849606890544e-11,4.424182726130119e-09,2.5669524550971705e-09,2.884373968730588e-08,1.0510074971502535e-08
W03,4.641588833612782e-08,15390.0,5.5079547104917025e-09,7.088562970040273e-11,4.421159659784684e-09,2.563590449466629e-09,2.8805724865469835e-08,1.0554527731683061e-08
W03,4.641588833612782e-08,15480.0,5.511033224200137e-09,7.083281198265765e-11,4.4181339637939935e-09,2.560233095416585e-09,2.8767766191860713e-08,1.0598922273050662e-08
W03,4.641588833612782e-08,15570.0,5.514114220789875e-09,7.078004185483663e-11,4.415105737332076e-09,2.5568803872453044e-09,2.872986349351748e-08,1.0643258676154912e-08
W03,4.641588833612782e-08,15660.0,5.517197607355736e-09,7.07273183199882e-11,4.412075074301064e-09,2.5535323191769313e-09,2.86920166028397e-08,1.0687537021466926e-08
W03,4.641588833612782e-08,15750.0,5.52028329332582e-09,7.067464040868827e-11,4.409042066242281e-09,2.550188885416409e-09,2.8654225354682714e-08,1.0731757389354522e-08
W03,4.641588833612782e-08,15840.0,5.5233711878892024e-09,7.062200714650966e-11,4.406006804941077e-09,2.546850080198585e-09,2.8616489583758435e-08,1.0775919860060004e-08
W03,4.641588833612782e-08,15930.0,5.526461204161709e-09,7.056941760670101e-11,4.402969378208378e-09,2.543515897707449e-09,2.857880912884519e-08,1.0820024513736894e-08
W03,4.641588833612782e-08,16020.0,5.52955325761652e-09,7.051687089033909e-11,4.39992987146993e-09,2.5401863321059072e-09,2.854118383120195e-08,1.0864071430436486e-08
W03,4.641588833612782e-08,16110.0,5.532647266420111e-09,7.046436613076404e-11,4.396888367425913e-09,2.536861377531912e-09,2.8503613534905168e-08,1.0908060690110853e-08
W03,4.641588833612782e-08,16200.0,5.5357431541986066e-09,7.041190252978124e-11,4.3938449432484e-09,2.5335410280646614e-09,2.8466098089625903e-08,1.0951992372635863e-08
W03,4.641588833612782e-08,16290.0,5.538840842079875e-09,7.035947925369112e-11,4.3907996786432215e-09,2.530225277822875e-09,2.842863734263894e-08,1.0995866557745879e-08
W03,4.641588833612782e-08,16380.0,5.541940255112523e-09,7.030709551723337e-11,4.387752649347032e-09,2.5269141208860085e-09,2.8391231145267474e-08,1.103968332508686e-08
W03,4.641588833612782e-08,16470.0,5.545041320391732e-09,7.025475055913465e-11,4.3847039290259215e-09,2.5236075513176034e-09,2.8353879351000797e-08,1.1083442754201155e-08
W03,4.641588833612782e-08,16560.0,5.548143966969649e-09,7.020244364098149e-11,4.381653589366158e-09,2.520305563166659e-09,2.831658181540381e-08,1.1127144924527e-08
W03,4.641588833612782e-08,16650.0,5.551248127855776e-09,7.015017407429679e-11,4.378601698046717e-09,2.517008150438601e-09,2.8279338398129983e-08,1.1170789915415014e-08
W03,4.641588833612782e-08,16740.0,5.554353736385077e-09,7.009794117161138e-11,4.375548322420101e-09,2.5137153071481843e-09,2.8242148959265822e-08,1.121437780609889e-08
W03,4.641588833612782e-08,16830.0,5.557460727251008e-09,7.004574426048635e-11,4.372493528465295e-09,2.510427027304537e-09,2.8205013360370264e-08,1.125790867570403e-08
W03,4.641588833612782e-08,16920.0,5.560569037428912e-09,6.999358269605601e-11,4.3694373798518214e-09,2.5071433048977934e-09,2.816793146540367e-08,1.1301382603255268e-08
W03,4.641588833612782e-08,17010.0,5.5636786055753565e-09,6.994145585300445e-11,4.3663799385484284e-09,2.5038641339078987e-09,2.8130903140123063e-08,1.1344799667672214e-08
W03,4.641588833612782e-08,17100.0,5.566789372648363e-09,6.988936313368954e-11,4.363321264194736e-09,2.5005895082907202e-09,2.8093928252710808e-08,1.1388159947774654e-08
W03,4.641588833612782e-08,17190.0,5.569901282390795e-09,6.983730397448483e-11,4.36026141361151e-09,2.497319421967109e-09,2.805700667426472e-08,1.1431463522286789e-08
W03,4.641588833612782e-08,17280.0,5.573014277734096e-09,6.978527779898665e-11,4.357200444443706e-09,2.4940538689002267e-09,2.8020138275154073e-08,1.1474710469807614e-08
W03,4.641588833612782e-08,17370.0,5.5761283041004966e-09,6.973328406106898e-11,4.354138411815224e-09,2.4907928430236306e-09,2.79833229283661e-08,1.1517900868838588e-08
W03,4.641588833612782e-08,17460.0,5.579243308355309e-09,6.96813222312841e-11,4.351075369390196e-09,2.487536338263461e-09,2.794656050844451e-08,1.1561034797775158e-08
W03,4.641588833612782e-08,17550.0,5.582359238741185e-09,6.962939179605213e-11,4.3480113694395515e-09,2.4842843485393895e-09,2.7909850891423146e-08,1.160411233490647e-08
W03,4.641588833612782e-08,17640.0,5.585476047850364e-09,6.957749229451031e-11,4.344946459831915e-09,2.4810368677096906e-09,2.787319395782892e-08,1.1647133558439575e-08
