permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,29.700000000000003,4370574.066239521,133227.82328647675,649783.2693319158,216988.90738118134,88096.93559351943,216988.90738118134,696697.5814534344,539404.8411825753,1953836.0828092913,293075.4124213936
High permeability,29.8,4367402.962417566,133311.5079349989,649705.650938705,216982.84112587004,88161.62178468947,216982.84112587004,699887.6837327413,539752.7589315161,1964627.6663071096,294694.1499460664
High permeability,29.900000000000002,4364232.031222633,133395.27202716927,649628.2474796512,216976.48049275338,88225.37368983815,216976.48049275338,703078.6271146961,540096.090874935,1975426.1625387366,296313.92438081047
High permeability,30.0,4361061.27743437,133479.11596776242,649551.053115074,216969.83091673744,88288.19987649951,216969.83091673744,706270.3986568912,540434.8900976453,1986231.480334052,297934.7220501077
High permeability,30.1,4357890.705842555,133563.04016219522,649474.0619916633,216962.8978457154,88350.10892815051,216962.8978457154,709462.9853914888,540769.2097869518,1997043.5283453737,299556.529251806
High permeability,30.200000000000003,4354720.320982059,133647.04500126073,649397.2685972136,216955.6864010996,88411.10922495753,216955.6864010996,712656.3747942419,541099.1012184158,2007862.2184300693,301179.3327645103
High permeability,30.3,4351550.127343543,133731.13087320756,649320.6674786927,216948.2016476736,88471.20911124824,216948.2016476736,715850.554418415,541424.6153346215,2018687.4630046089,302803.1194506913
High permeability,30.400000000000002,4348380.129393577,133815.29816490156,649244.253215319,216940.44861935332,88530.4169104895,216940.44861935332,719045.5118608337,541745.8028901926,2029519.1748003997,304427.8762200599
High permeability,30.5,4345210.331557215,133899.54726086062,649168.0204418405,216932.43229687275,88588.74091651078,216932.43229687275,722241.2347871328,542062.7143388819,2040357.2670497694,306053.59005746536
High permeability,30.6,4342040.738125,133983.87853795168,649091.9639730932,216924.15748852896,88646.18931246187,216924.15748852896,725437.711100488,542375.3990998038,2051201.654710821,307680.24820662313
