total_BiTE_nM,KD_CD3_nM,KD_TAA_nM,free_CD3_nM,free_TAA_nM,free_BiTE_nM,CD3_BiTE_nM,TAA_BiTE_nM,trimer_nM,trimer_complexes_per_target,max_mass_balance_error_nM
0.5623413251903491,10.0,0.1,8.051868208922585,16.046532084031703,0.0019292947651079748,0.0015534427184813668,0.30958490347859524,0.24927368422816681,150.1161214185813,2.3314683517128287e-15
0.6812920690579608,10.0,0.1,7.9999009436543655,15.92834914690562,0.0023614264536796895,0.0018891177715162533,0.3761362503894925,0.3009052744433516,181.20939181242937,7.915890165577366e-14
0.8254041852680182,10.0,0.1,7.937448124729601,15.785182550049042,0.0028967685620298216,0.002299295019045927,0.45726020556883795,0.36294791612058447,218.57234394268332,2.4800161924076747e-12
1.0,10.0,0.1,7.862526554020681,15.611755332967004,0.0035631360486933607,0.0028015251798439874,0.5562680821027555,0.4373672566687072,263.38871834740036,0.0
1.2115276586285877,10.0,0.1,7.772841271312584,15.401678474259056,0.004397417964795832,0.003418043184397643,0.6772761761071602,0.5264360213722504,317.0271821838061,1.6431300764452317e-14
1.4677992676220675,10.0,0.1,7.665768102297234,15.14721807345627,0.0054493352823331885,0.004177334058603264,0.8254226987688019,0.632749899513398,381.05089607455386,1.0689227281091007e-12
1.7782794100389228,10.0,0.1,7.538353419021795,14.839014853920501,0.006787177756406016,0.005116414464551197,1.007150315435077,0.7592255023828891,457.21628439314736,1.7763568394002505e-15
2.154434690031882,10.0,0.1,7.387342839112712,14.465747084953579,0.008506822108392615,0.0062842811386039895,1.2305753711669913,0.9090682156178941,547.4536754892989,2.3092638912203256e-14
2.6101572156825332,10.0,0.1,7.209255246145506,14.013727204573597,0.01074639678076893,0.007747351736891959,1.5059707291780369,1.0856927379868335,653.8194490266511,1.7763568394002505e-15
3.1622776601683795,10.0,0.1,7.000523702709011,13.466422602853887,0.013711101898108063,0.009598489382796402,1.8463949251071525,1.292573143777425,778.4057414423371,2.8976820942716586e-12
3.831186849557285,10.0,0.1,6.757729246427192,12.80389398279977,0.017717293424471335,0.011972867194208212,2.2685034666908646,1.532993222247833,923.1900968502414,9.192646643896296e-14
4.641588833612772,10.0,0.1,6.477954251015515,12.002155244933592,0.023275587626743505,0.015077819181154719,2.7935721611323094,1.8096632656725644,1089.804691408146,1.7763568394002505e-15
5.623413251903491,10.0,0.1,6.159273471978841,11.032490941753169,0.03125977291354583,0.019253749004648553,3.448731615099554,2.1241681148857428,1279.2039385745795,1.7763568394002505e-15
6.812920690579608,10.0,0.1,5.801374644552058,9.86086684656749,0.04328538937098841,0.02511147603764153,4.268314609891443,2.476209215279533,1491.2080445622491,1.7763568394002505e-15
8.254041852680173,10.0,0.1,5.406247456621385,8.447910914004279,0.06267723221886688,0.0338848627271317,5.294916741213461,2.8625630165207268,1723.8757419858023,1.2434497875801753e-14
10.0,10.0,0.1,4.978798312479997,6.75134736417375,0.09744219088234596,0.04851450155293778,6.578660785728417,3.2753825218362977,1972.4814589341959,1.7763568394002505e-15
12.115276586285876,10.0,0.1,4.527160453032774,4.740408587797418,0.17229416798560762,0.07800033435926283,8.167447535463854,3.6975345484771958,2226.7073515892716,4.263256414560601e-14
14.677992676220676,10.0,0.1,4.0624347623941395,2.4933777390475975,0.4024763514234057,0.16350339210640033,10.035255751322175,4.076757181368692,2455.0805590543114,3.552713678800501e-15
17.78279410038923,10.0,0.1,3.5976983784211773,0.7995190430884542,1.4538655121785085,0.5230569595607094,11.623931630762664,4.181939997887347,2518.423131715171,1.7763568394002505e-15
21.54434690031882,10.0,0.1,3.14638604734929,0.310417473105412,3.9930165467369805,1.256357154948808,12.395021065061917,3.8999521335711353,2348.60607056277,2.1316282072803006e-14
26.10157215682533,10.0,0.1,2.7204695761915794,0.17002900650195804,7.598941559264999,2.067268932323823,12.920404837882677,3.514956827353832,2116.7564779647796,1.7763568394002505e-15
31.622776601683793,10.0,0.1,2.329006400812288,0.10905627492173207,12.268987226635282,2.8574549782317775,13.380100439991564,3.116233956825167,1876.6399529092917,3.552713678800501e-15
38.31186849557285,10.0,0.1,1.9774614955546186,0.07588481620970436,18.186126207233908,3.596236432810181,13.800508448024328,2.728997407504434,1643.4406521666783,0.0
46.41588833612773,10.0,0.1,1.6678430181328179,0.05541426774977883,25.596772158937096,4.269139773201973,14.184263859454246,2.365712544534442,1424.6653940884178,2.842170943040401e-14
56.23413251903491,10.0,0.1,1.3993897876978127,0.04175304008351105,34.80054250815446,4.869952379225497,14.530284462709032,2.033353168945922,1224.5138998184404,1.7763568394002505e-15
68.12920690579608,10.0,0.1,1.169460061615729,0.032146125854824965,46.15797189435007,5.397990465562371,14.837999737192508,1.735244808691132,1044.9888490997268,1.7763568394002505e-15
82.54041852680173,10.0,0.1,0.9743566117729733,0.025136768529650272,60.103901264546806,5.856263359046116,15.108178538158674,1.4720753650501437,886.504505766035,3.552713678800501e-15
